Lat,Long,YY,LoAge,UpAge,Ex,Pf
14.3138,-16.6097,2014,0.6,4.8,42,0
14.532,-16.351,1972,0,14,141,18
14.05,-16.685,1995,0,10,260,115
14.05,-16.685,1996,0,10,108,0
14.05,-16.685,1997,0,10,100,2
14.534,-16.351,1966,0,14,189,59
14.3833,-16.3167,1962,0,15,428,282
14.4333,-16.5333,1963,0,14,23,13
14.402,-16.418,1966,0,14,136,64
14.0833,-16.7,1960,0,14,70,36
14.53,-16.267,2014,0.8,4.8,30,2
14.401,-16.167,1972,0,14,166,55
14.483,-16.297,1966,0,14,208,61
14.518,-16.451,2002,0.2,4.9,59,12
14.5,-16.472,2002,0.2,4.9,57,19
14.534,-16.425,1995,0,9,417,342
14.534,-16.435,1966,0,14,245,108
14.534,-16.435,2002,0.2,4.9,51,11
14.534,-16.435,2013,0.8,4.8,27,0
14.497,-16.505,1972,0,14,191,52
14.483,-16.4,1965,2,9,130,36
14.483,-16.4,1970,15,99,225,4
14.483,-16.4,1971,0,4.9,674,367
14.483,-16.4,1972,0,4.9,634,373
14.483,-16.4,1973,0,4.9,331,190
14.483,-16.4,2014,0.5,4.8,36,0
14.5609,-16.363,1966,0,15,822,309
14.5609,-16.363,1970,15,99,262,23
14.482,-16.399,1972,0,14,149,53
14.5668,-16.3839,1965,0,14,202,55
14.5668,-16.3839,2012,0.7,4.7,40,1
14.529,-16.489,1964,0,14,125,43
14.529,-16.489,2002,0.2,4.9,125,40
14.515,-16.437,1972,0,14,139,92
14.515,-16.437,2002,0.2,4.9,87,23
14.0446,-16.6807,2008,0.5,5,89,11
14.339,-16.4075,2008,0.6,5,22,2
14.401,-16.516,1966,0,14,95,39
14.15,-16.65,1995,0,10,194,75
14.15,-16.65,1996,0,10,81,2
14.15,-16.65,1997,0,10,103,3
14.471,-16.361,1966,0,14,252,86
14.471,-16.361,1972,0,14,206,113
14.4344,-16.6217,2013,0.5,4.3,26,0
14.53,-16.481,2001,2,15,511,284
14.53,-16.481,2002,2,18,409,141
14.53,-16.481,2003,2,18,342,99
13.8199,-16.3213,2011,0.7,5.4,23,4
13.6818,-16.3348,2011,0.9,5.8,33,0
13.9096,-16.226,2011,0.5,6,34,0
13.8091,-16.3822,2011,0.5,5.8,30,2
14.1225,-16.4694,2011,0.6,6,15,0
14.13,-16.3973,2011,0.5,5.9,26,0
13.716,-16.418,1989,5,15,85,63
13.716,-16.418,1990,2,9,50,40
13.716,-16.418,1992,1,84,77,50
13.716,-16.418,1999,0,92,280,109
13.716,-16.418,2005,0,94,245,53
13.716,-16.418,2010,0,99,338,3
13.933,-16.334,2014,0.6,4.8,63,0
13.934,-16.752,1995,0,10,114,8
13.934,-16.752,1996,0,10,134,0
13.934,-16.752,1997,0,10,90,6
14.067,-16.334,1996,2,9,100,18
14.067,-16.334,2014,0.6,4.9,32,0
13.9166,-16.6833,1960,0,14,31,4
14.0621,-16.3373,2013,0.5,4.8,28,0
14.123,-16.476,1906,0,3,15,12
13.61,-16.43,2014,0.7,4.9,21,0
13.7833,-16.4129,1989,0,15,64,45
13.6518,-16.3236,2010,0.5,14,319,26
13.6402,-16.3108,2010,0.5,14,399,39
13.6043,-16.3156,2010,0.5,14,361,39
13.6502,-16.3611,2013,0.5,4.9,62,0
13.6222,-16.3694,2010,0.5,14,364,63
13.8096,-16.3895,1989,0,15,67,57
13.6833,-16.5,1960,0,14,89,70
14.0438,-16.4301,1960,0,14,18,7
13.683,-16.383,1993,2,9,101,25
13.683,-16.383,1997,0,99,110,15
13.683,-16.383,2002,3.4,76.9,217,41
13.683,-16.383,2010,0.5,14,136,4
13.88,-16.378,1964,2,9,871,353
13.88,-16.378,1965,2,9,400,151
13.852,-16.7207,1968,0,15,2645,1273
13.7737,-16.3388,2013,0.7,4.8,37,6
13.983,-16.266,2014,0.9,4.7,18,0
13.7,-16.4,1989,5,15,131,38
14.0543,-16.3133,2008,0.6,4.9,22,0
13.9488,-16.2306,2008,1,5,23,3
13.6923,-16.6313,2009,0.6,5,17,0
13.6655,-16.1834,2009,0.5,5,32,1
13.881,-16.38,1965,2,9,276,154
13.881,-16.38,1968,0,15,971,481
13.881,-16.38,2013,0.5,4.8,33,0
14.0838,-16.481,2013,0.7,4.3,20,0
13.783,-16.47,2014,0.8,4.9,40,0
14.4237,-16.2142,2011,0.7,5.9,16,0
14.2698,-15.9541,2011,1,4.7,18,0
14.4665,-15.9223,2011,0.6,5.7,26,0
14.2354,-16.1277,2011,0.8,6.3,15,0
14.4907,-16.0685,2011,0.7,5.8,13,0
14.498,-16.07,2014,0.5,4.8,27,0
14.531,-15.76,2014,0.6,4.9,55,0
14.436,-16.051,1968,0,15,1201,688
14.436,-16.051,2012,0.5,4.9,35,0
14.4629,-15.9212,2008,0.5,4.9,28,1
14.492,-16.1585,2008,0.7,5,26,1
14.3678,-15.8505,2008,0.6,5,25,2
14.418,-16.101,1965,2,9,708,178
14.418,-16.101,1967,0,15,851,423
14.2752,-15.3109,1960,0,14,45,30
14.1284,-15.7439,1969,0,15,1984,949
14.1284,-15.7439,2014,0.8,4.8,26,0
13.984,-15.402,1967,0,14,42,16
14.2835,-15.5333,2012,0.8,4.8,38,4
14.2835,-15.5333,2014,0.7,4.9,63,0
14.05,-15.434,1967,0,14,49,25
14.4244,-15.5664,2011,1.2,5.5,14,0
14.1017,-15.5388,2011,0.7,5.8,30,0
14.0276,-15.1842,2011,0.8,5.9,12,1
14.1389,-15.5968,2011,1.1,5.8,15,2
14.0887,-15.5516,2011,0.7,5.5,17,0
14.2893,-15.5332,2011,0.5,5.9,25,1
13.9677,-15.5895,2011,0.6,5.9,22,1
13.8422,-14.9338,2010,0.8,5.7,23,5
13.8282,-15.4955,2011,0.8,6,24,0
14.1016,-15.4907,2011,0.5,5.8,35,2
14.4577,-14.7058,2011,0.6,5.2,22,1
13.8309,-15.6378,2011,0.6,5.4,19,1
13.9505,-15.288,2011,0.7,5.9,17,1
13.9454,-15.608,2011,1.1,5.9,23,0
14.2013,-15.7155,2011,0.5,5.9,25,0
13.9713,-14.8041,2011,0.5,5.8,24,0
14.2941,-15.1879,2011,0.5,5.9,19,1
13.7828,-15.4271,2012,0.6,4.9,47,1
14.15,-15.5333,1960,0,14,23,2
14.03,-15.4,2014,0.5,4.8,66,0
14.15,-15.1833,1960,0,14,50,27
14.28,-14.93,2014,0.5,4.7,39,0
13.9876,-14.6644,2013,0.7,4.8,42,2
14.1217,-15.6931,2012,0.7,4.8,20,0
14.1217,-15.6931,2014,0.6,4.3,50,0
14.1321,-15.5533,2013,0.6,4.6,47,0
13.9462,-15.4078,2013,0.6,4.9,47,1
13.9462,-15.4078,2014,0.5,4.3,46,0
14.169,-15.62,1905,0,3,15,7
14.169,-15.62,1906,0,3,15,5
13.833,-15.501,1967,0,14,165,82
14.137,-15.8294,2013,0.6,4.8,33,0
13.9568,-14.8222,2013,1.1,4.6,19,0
13.9568,-14.8222,2014,0.6,4.8,37,0
14.216,-14.73,2014,0.8,4.8,39,0
13.917,-15.67,2014,0.5,4.9,53,0
13.8072,-14.9501,1967,0,14,205,32
14.0358,-15.0243,2012,1.2,4.7,26,0
14.0843,-15.2946,2013,0.6,4.9,37,0
14.5453,-15.2515,2014,0.7,4.9,38,3
13.834,-15.316,1967,0,14,50,29
14.359,-15.75,2014,0.6,4.9,33,0
14.3666,-14.8666,1960,0,14,30,9
13.834,-15.368,1967,0,14,140,78
14.3,-15.184,1996,2,9,213,15
14.0307,-15.6445,2013,0.5,4.9,43,0
14.3646,-15.2002,2013,0.6,4.8,52,0
14.183,-15.434,1996,2,9,145,38
14.284,-14.933,1996,2,9,180,16
14.018,-15.45,1967,0,14,17,5
14.0166,-15.5666,1960,0,14,22,9
13.801,-15.166,1967,0,14,31,19
14.366,-14.685,1996,2,9,124,33
14.366,-14.685,2014,0.8,4.9,43,1
14.0927,-15.3852,2014,0.8,4.9,43,0
13.8659,-14.9119,2013,0.8,4.9,38,0
14.1153,-15.5485,2008,0.5,4.9,19,3
14.1237,-15.7693,2009,0.9,5,34,5
13.9797,-15.6852,2009,1.7,5,15,1
14.0674,-15.6702,2009,0.6,5,25,4
13.9374,-15.4149,2009,1,5,17,8
13.8451,-15.5569,2009,0.8,5,26,3
13.9781,-14.798,2009,0.5,5,20,0
14.2789,-14.9292,2009,1,5,17,0
13.932,-14.7035,2009,1,5,18,1
14.0324,-14.6747,2009,1.1,5,27,5
13.987,-15.1153,2009,0.5,5,34,2
14.4904,-14.6412,2009,0.6,5,27,0
14.3853,-15.5241,2008,0.5,5,24,0
14.3585,-15.3806,2008,0.8,4.9,19,5
14.6834,-15.3929,2008,0.5,5,15,1
14.2848,-15.4833,2008,0.5,5,20,0
14.3946,-15.6208,2008,0.5,5,26,0
14.1654,-15.525,2008,0.8,5,18,7
14.1133,-15.2182,2008,0.6,5,45,5
14.1467,-16.0739,2011,0.6,5.9,38,7
14.1577,-16.0831,2011,1.1,5.9,18,0
14.1464,-16.0906,2010,0.8,5.9,26,2
14.1659,-16.068,2011,1.3,5.4,17,3
14.3537,-16.1462,2011,0.6,6.2,15,0
13.9771,-15.7844,2011,0.5,5.8,25,3
14.0231,-16.1823,2011,0.5,5.3,36,0
13.9137,-15.9322,2011,0.8,5.8,25,3
13.9847,-16.1381,2011,0.5,5.8,20,0
13.952,-16.153,1964,0,15,1493,621
14.23,-16.17,2014,0.5,4.6,40,0
14.2394,-16.2729,1964,2,9,653,272
14.0333,-15.9833,1960,0,14,56,30
14.142,-16.101,1905,0,3,20,16
14.142,-16.101,1906,0,3,22,10
14.142,-16.101,1922,1,15,106,66
14.142,-16.101,1968,0,14,100,52
14.142,-16.101,2013,0.5,4.8,135,2
14.142,-16.101,2014,0.6,4.7,163,0
14.0187,-16.1344,2013,0.6,4.9,47,0
13.9865,-16.0603,2010,0,9,999,3
14.067,-15.933,2014,0.7,4.9,40,0
14.084,-16.168,2014,0.6,4.9,45,0
13.9477,-16.1548,2013,0.6,4.8,42,0
14.2939,-16.2093,1965,0,15,715,270
14.2939,-16.2093,2013,0.6,4.7,31,0
