"web_x","web_y"
-10161317.8587314,5415024.4147774
-10161090.3384593,5415720.15875146
-10160914.691903,5417188.70284765
-10160897.8353879,5418559.97167541
-10160841.8310058,5419017.50132872
-10160791.7671589,5419428.65283965
-10160706.9060652,5420058.33852859
-10160619.50365,5420757.38558092
-10160539.7185197,5421176.25442659
-10160377.5583123,5421573.41146895
-10160025.1883237,5422075.77281528
-10159904.6157534,5422214.44336258
-10159772.1547449,5422366.62956496
-10159638.0216251,5422790.2775804
-10159369.747718,5423567.11528595
-10159177.9214974,5424552.63974884
-10158948.757988,5425839.20737834
-10158860.5130912,5426609.81921338
-10158848.6703624,5427101.25360279
-10158803.6872797,5427364.61948228
-10158766.3440103,5427589.78037649
-10158680.6337257,5428218.84599485
-10158549.9023485,5428703.91006021
-10158374.1715714,5429265.44241388
-10158349.5782449,5429620.0103049
-10158343.6406987,5429698.21640027
-10158320.7266313,5429846.40163942
-10158355.5608019,5430035.74525564
-10158484.6851675,5430530.87620522
-10158734.3942519,5431017.78984178
-10159028.2446471,5431321.81707482
-10159082.599537,5431378.86075432
-10159379.0017188,5431737.59635575
-10159435.0555069,5431810.52309025
-10159649.0740652,5432032.23966301
-10159922.5495106,5432391.59186059
-10160320.0187378,5432883.29451444
-10160325.9971631,5433242.70506084
-10160494.2089861,5434001.55751396
-10160580.0193136,5434443.95843704
-10160848.418648,5435011.6813362
-10161058.2742094,5436124.9038174
-10161310.5419599,5436728.03957454
-10161464.3053648,5437357.70827194
-10161623.1757979,5438121.60793086
-10161681.8166831,5438614.82720916
-10161806.7144169,5439319.97227228
-10162003.7876985,5439957.46518769
-10162371.5478053,5440574.97135659
-10162881.1440163,5441407.99204637
-10163017.8769318,5441542.21895829
-10163439.9666929,5441959.04114602
-10163817.0488058,5442375.88799066
-10164195.8321447,5442821.60751245
-10164239.9955952,5442875.7780971
-10164539.7974609,5443250.86178668
-10165047.6767282,5443899.1991795
-10165238.7778155,5444232.51995307
-10165409.4942676,5444529.33887876
-10165449.4117848,5444587.6422648
-10165695.7333288,5445176.02083521
-10166000.6444437,5445709.06002854
-10166223.1871382,5446267.46789167
-10166375.2456185,5446828.27293356
-10166595.2261801,5447245.35519088
-10166698.8674619,5447660.69891114
-10167042.8317861,5448091.35745241
-10167456.4313383,5448522.6196295
-10167871.721735,5448883.78118167
-10168287.8614469,5449245.5453776
-10168723.5360877,5449639.14477498
-10168983.4324152,5450084.04873829
-10169250.1155023,5450462.37570806
-10169681.5553028,5450978.6182813
-10169820.8332399,5451083.51599797
-10170114.6953409,5451513.16063337
-10170626.8174049,5452112.56669358
-10170946.1851256,5452861.76151749
-10171615.5084358,5454537.21234746
-10171830.4143962,5455166.32528091
-10172241.4783544,5455740.03240258
-10172514.9602063,5456168.12812546
-10172834.2937465,5456552.59840768
-10173139.1727275,5456743.05725494
-10173198.6216434,5456795.53982159
-10173485.6729029,5457034.95451467
-10173865.3026264,5457450.71616838
-10174159.1767969,5458009.2401394
-10174591.4495996,5458352.48834854
-10175078.9249946,5458748.24195548
-10175151.1123005,5458806.63251481
-10175562.9958693,5459052.57798904
-10175996.1282109,5459505.59030795
-10176391.0450426,5459937.39003697
-10176682.3580318,5460353.28983979
-10177144.3742753,5460925.54667125
-10177189.386988,5460979.82392937
-10177490.8923497,5461420.55245826
-10177766.0661923,5461779.28299785
-10178134.6518737,5462156.90332096
-10178428.5259946,5462715.12408437
-10178629.8338859,5463227.35543656
-10178695.2372689,5463394.367904
-10178943.2310984,5463691.20782917
-10179307.5817089,5464176.91817885
-10179620.108109,5464423.01687981
-10179740.703292,5464515.67449721
-10180316.4976752,5464936.47583465
-10180957.6716165,5465270.51776624
-10181787.3672477,5465601.60298817
-10182599.2303311,5465942.14648691
-10183380.5019857,5466067.81602487
-10183759.2431709,5466066.00983636
-10184230.5526272,5466120.27722031
-10184537.9760459,5466276.10245107
-10184590.6284052,5466302.66359913
-10185097.6054498,5466377.00157336
-10185450.0291067,5466454.30762399
-10185872.9363167,5466534.5574764
-10186082.7011395,5466678.5918083
-10186227.9292912,5466853.33454548
-10186517.5398863,5467216.99978842
-10186582.9352832,5467299.0638211
-10186914.9867497,5467472.61975387
-10187264.0266832,5467692.23315784
-10187872.0799779,5467998.62483744
-10188531.0744626,5468196.96390888
-10188593.0683784,5468219.98807784
-10189162.8853831,5468295.5167397
-10189231.6701298,5468295.51024429
-10189729.3000724,5468303.13948889
-10189797.2359982,5468307.85739016
-10190436.680793,5468317.24410578
-10190506.3155206,5468324.91378381
-10191072.7319651,5468351.43235825
-10191133.8747312,5468354.38007267
-10191572.9221834,5468504.32529657
-10192695.572571,5468650.07528365
-10193067.5286482,5468733.3027801
-10193329.9353131,5468792.33025937
-10193965.1429349,5468887.93553584
-10194483.1498653,5468863.08554611
-10195163.379398,5469123.44787967
-10195794.3592726,5469417.48469522
-10196356.5477044,5469640.07689862
-10196832.9703471,5469895.75538153
-10196914.4969528,5469938.86077116
-10197130.2125295,5470146.73418078
-10197429.1508556,5470372.32150722
-10197476.711549,5470440.83063798
-10197711.1209215,5470767.43155656
-10197929.3898144,5471046.20293386
-10198162.0992714,5471369.87420149
-10198506.0708781,5471869.57833986
-10198877.2019913,5472224.5736303
-10199269.5723166,5472661.10723688
-10199599.0767118,5472843.62812344
-10200041.5308614,5473097.6257889
-10200096.7325435,5473128.93325126
-10200602.027963,5473385.88954205
-10201107.3203793,5473622.76302984
-10201165.919992,5473675.34225713
-10201460.6159095,5473942.96842389
-10201927.7173206,5474407.93837894
-10202525.5874761,5474802.60228692
-10203162.5342815,5475333.78601734
-10203323.8935391,5475469.09889102
-10203704.3629582,5475786.41031117
-10204227.5212114,5476357.85053526
-10204644.5162218,5476788.66929016
-10205014.8147667,5477310.53689371
-10205264.5163247,5477719.54456493
-10205529.5051069,5478145.71072605
-10206029.7094851,5478440.04928449
-10206174.0812118,5478539.34874646
-10206748.1572167,5478753.29391919
-10207465.7655992,5479160.54884541
-10208255.5556162,5479566.63252363
-10208671.6895767,5479872.25673179
-10209113.3083934,5480264.21492008
-10209602.4786871,5480626.62021836
-10209917.5588983,5480939.97768578
-10210143.4975642,5481501.12386379
-10210296.3985077,5481990.75291606
-10210388.1631098,5482533.64327763
-10210485.8711114,5483073.01474878
-10210640.4726509,5483584.61324503
-10210839.2194111,5483956.64209095
-10211302.9284773,5484472.99338405
-10211700.3861392,5484846.81357737
-10211932.2228249,5484908.90506114
-10212710.9544137,5485124.16291662
-10212778.8920126,5485147.22752422
-10213351.2592879,5485241.82776408
-10213840.4007904,5485297.9812731
-10214755.0188563,5485668.23633567
-10215425.0618584,5485970.4916405
-10216087.4809707,5486468.59698706
-10216942.6828741,5487135.34469645
-10217515.9080027,5487334.10639894
